full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
liuup/claude-code-analysis,3120,3120,1808,2,2,0,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,318,318,612,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9700,9700,1220,0,0,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9312,9312,709,1,1,1,https://github.com/frankbria/ralph-claude-code
pedrohcgs/claude-code-my-workflow,1256,1256,2542,1,1,0,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,8703,8703,661,1,1,0,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,785,785,1756,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2613,2613,2372,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3645,3645,765,3,3,1,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5951,5951,563,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,604,604,1303,1,1,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3830,3830,566,0,0,0,https://github.com/OneRedOak/claude-code-workflows
wanshuiyin/Auto-claude-code-research-in-sleep,12006,12006,1103,14,14,2,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
alex000kim/claude-code,227,227,329,0,0,0,https://github.com/alex000kim/claude-code
FlorianBruniaux/claude-code-ultimate-guide,4984,4984,662,4,4,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
affaan-m/ECC,214494,214494,32961,115,115,19,https://github.com/affaan-m/ECC
xorespesp/claude-code,227,227,314,0,0,-1,https://github.com/xorespesp/claude-code
1rgs/claude-code-proxy,3629,3629,474,0,0,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1641,1641,638,2,2,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4294,4294,435,1,1,0,https://github.com/zebbern/claude-code-guide
nicedreamzapp/claude-code-local,2754,2754,522,0,0,0,https://github.com/nicedreamzapp/claude-code-local
VineeTagarwaL-code/claude-code,276,276,270,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
anthropics/claude-code-security-review,5214,5214,537,3,3,0,https://github.com/anthropics/claude-code-security-review
disler/claude-code-hooks-mastery,3759,3759,620,1,1,1,https://github.com/disler/claude-code-hooks-mastery
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
777genius/claude-code-source-code,915,915,1106,0,0,0,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8195,8195,423,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
rohitg00/awesome-claude-code-toolkit,2038,2038,669,3,3,1,https://github.com/rohitg00/awesome-claude-code-toolkit
freestylefly/claude-code,126,126,302,0,0,0,https://github.com/freestylefly/claude-code
Windy3f3f3f3f/how-claude-code-works,2632,2632,614,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
Tinkeringg-Lab/claude-code,206,206,239,0,0,0,https://github.com/Tinkeringg-Lab/claude-code
alejandrobalderas/claude-code-from-source,2208,2208,651,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
RichardAtCT/claude-code-telegram,2682,2682,392,0,0,1,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2670,2670,389,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
kodu-ai/claude-coder,5260,5260,198,0,0,0,https://github.com/kodu-ai/claude-coder
ding113/claude-code-hub,3055,3055,347,4,4,1,https://github.com/ding113/claude-code-hub
Yuyz0112/claude-code-reverse,2384,2384,407,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fazxes/Claude-code,221,221,213,0,0,0,https://github.com/fazxes/Claude-code
multica-ai/andrej-karpathy-skills,174438,174438,17782,175,175,18,https://github.com/multica-ai/andrej-karpathy-skills
Cranot/claude-code-guide,2803,2803,316,2,2,0,https://github.com/Cranot/claude-code-guide
isboyjc/claude-code,158,158,219,0,0,0,https://github.com/isboyjc/claude-code
mehmoodosman/claude-code,167,167,216,0,0,0,https://github.com/mehmoodosman/claude-code
SeemSeam/claude_codex_bridge,2971,2971,297,5,5,0,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1523,1523,537,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
anthropics/skills,150089,150089,17714,87,87,5,https://github.com/anthropics/skills
Chachamaru127/claude-code-harness,2722,2722,266,4,4,3,https://github.com/Chachamaru127/claude-code-harness
AprilNEA/claude-code-source,387,387,614,0,0,0,https://github.com/AprilNEA/claude-code-source
https-deeplearning-ai/sc-claude-code-files,528,528,777,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-base-action,871,871,605,0,0,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,1090,1090,375,0,0,0,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,60,60,213,0,0,0,https://github.com/guanshan/ClaudeCode
lowcortisolprogrammer/claude-code,172,172,163,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
JrCx7scC/claude-code-source,370,370,547,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1457,1457,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3766,3766,265,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2084,2084,341,0,0,1,https://github.com/carlvellotti/claude-code-pm-course
Windy3f3f3f3f/claude-code-from-scratch,1404,1404,393,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Yeachan-Heo/oh-my-claudecode,36320,36320,3299,14,14,1,https://github.com/Yeachan-Heo/oh-my-claudecode
AICoderTudou/claude-code-tudou,500,500,395,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,591,591,525,-1,-1,0,https://github.com/andrew-kramer-inno/claude-code-source-build
huangjia2019/claude-code-engineering,829,829,303,1,1,1,https://github.com/huangjia2019/claude-code-engineering
feiskyer/claude-code-settings,1551,1551,224,0,0,0,https://github.com/feiskyer/claude-code-settings
disler/pi-vs-claude-code,1364,1364,335,0,0,0,https://github.com/disler/pi-vs-claude-code
ghuntley/claude-code-source-code-deobfuscation,982,982,550,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
darcyegb/ClaudeCodeAgents,723,723,67,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
sugyan/claude-code-webui,1132,1132,245,0,0,0,https://github.com/sugyan/claude-code-webui
KPR111/Claude-Code,18,18,330,0,0,0,https://github.com/KPR111/Claude-Code
luongnv89/claude-howto,37027,37027,4466,19,19,2,https://github.com/luongnv89/claude-howto
jqueryscript/awesome-claude-code,423,423,359,0,0,1,https://github.com/jqueryscript/awesome-claude-code
jeremylongshore/claude-code-plugins-plus-skills,2367,2367,334,1,1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
alirezarezvani/claude-skills,17949,17949,2477,14,14,3,https://github.com/alirezarezvani/claude-skills
asgeirtj/system_prompts_leaks,41920,41920,6950,32,32,16,https://github.com/asgeirtj/system_prompts_leaks
centminmod/my-claude-code-setup,2414,2414,228,1,1,0,https://github.com/centminmod/my-claude-code-setup
Hyper66666/claude-code-sourcemap,215,215,454,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
catlog22/Claude-Code-Workflow,2106,2106,168,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
router-for-me/CLIProxyAPI,37374,37374,6164,20,20,5,https://github.com/router-for-me/CLIProxyAPI
sickn33/antigravity-awesome-skills,40562,40562,6545,35,35,6,https://github.com/sickn33/antigravity-awesome-skills
